Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
1	100	0	0	0	0	456.208885	3.976985	11.240363	0.61263
2	75	25	0	0	0	443.358093	3.274001	11.251184	0.213107
3	75	0	25	0	0	530.347305	1.73452	4.24248	0.527358
4	75	0	0	25	0	458.641416	1.04273	5.026254	1.209518
5	75	0	0	0	25	533.032167	1.417845	4.105392	0.13833
6	50	50	0	0	0	460.169586	2.539841	15.94944	0.47266
7	50	25	25	0	0	475.823328	9.540812	6.291312	0.316413
8	50	25	0	25	0	455.400526	0.410418	9.767622	0.721124
9	50	25	0	0	25	547.177157	1.799649	8.941418	0.742602
10	50	0	50	0	0	567.979726	0.898836	30.152801	1.263415
11	50	0	25	25	0	527.766016	0.504772	8.229896	0.015556
12	50	0	25	0	25	529.743853	0.759836	-0.832188	1.145863
13	50	0	0	50	0	475.093236	2.810145	5.577472	0.790384
14	50	0	0	25	25	568.079829	5.139892	3.654507	0.240275
15	50	0	0	0	50	606.9974	12.738227	-10.675206	0.610963
16	25	75	0	0	0	469.8143	4.670478	15.969869	5.02315
17	25	50	25	0	0	470.396402	1.213665	5.076841	0.28259
18	25	50	0	25	0	452.568686	1.527958	12.493411	0.626955
19	25	50	0	0	25	512.768814	10.378851	11.798543	0.151467
20	25	25	50	0	0	569.369364	0.577547	12.160125	0.668167
21	25	25	25	25	0	495.394817	12.053902	9.28843	1.70747
22	25	25	25	0	25	507.81143	6.809881	8.120123	0.28286
23	25	25	0	50	0	492.000136	7.545462	12.050602	0.210106
24	25	25	0	25	25	525.156593	4.947652	8.782884	0.799707
25	25	25	0	0	50	565.4892	14.665236	5.834121	6.80294
26	25	0	75	0	0	697.454777	50.936452	5.044284	2.379067
27	25	0	50	25	0	733.189651	6.358741	12.723193	5.731268
28	25	0	50	0	25	680.339995	18.71382	3.77135	2.005124
29	25	0	25	50	0	607.516807	41.655324	28.011617	8.788507
30	25	0	25	25	25	555.749041	9.726405	7.145786	3.758175
31	25	0	25	0	50	575.419888	6.164841	10.790598	0.86659
32	25	0	0	75	0	580.948436	1.889494	15.193903	0.405503
33	25	0	0	50	25	603.112623	4.10214	8.022648	1.540729
34	25	0	0	25	50	604.614958	9.106379	4.497376	1.511904
35	25	0	0	0	75	647.441232	12.260265	-5.499527	5.099217
36	0	100	0	0	0	405.242231	4.262003	6.471413	1.753595
37	0	75	25	0	0	502.15747	18.635655	1.317197	1.922444
38	0	75	0	25	0	435.869917	6.959047	3.707728	3.16809
39	0	75	0	0	25	483.360302	7.596118	-12.235937	4.792657
40	0	50	50	0	0	555.389634	3.570348	11.103216	2.090918
41	0	50	25	25	0	504.007578	2.403576	8.12006	0.507979
42	0	50	25	0	25	523.778015	23.248564	7.459077	0.668108
43	0	50	0	50	0	450.356802	3.25348	10.728019	0.842929
44	0	50	0	25	25	470.248353	4.142504	8.792993	1.32822
45	0	50	0	0	50	505.420512	1.135504	-4.43626	0.806581
46	0	25	75	0	0	638.015225	19.441806	19.37232	0.622947
47	0	25	50	25	0	627.782374	10.468603	8.704889	1.342107
48	0	25	50	0	25	614.334506	9.72445	8.472493	2.563553
49	0	25	25	50	0	521.545115	3.160394	8.937523	2.807928
50	0	25	25	25	25	594.047522	49.40854	7.165834	1.173448
51	0	25	25	0	50	572.364583	0.239247	2.803606	0.151695
52	0	25	0	75	0	599.308756	10.752196	15.613642	1.244626
53	0	25	0	50	25	614.735716	12.310993	23.164415	0.834626
54	0	25	0	25	50	562.686756	2.980992	15.492144	1.042102
55	0	25	0	0	75	540.599495	3.195279	13.829643	3.073314
56	0	0	100	0	0	801.893401	74.694295	51.129784	15.080012
57	0	0	75	25	0	1101.589745	14.423908	19.046766	2.096157
58	0	0	75	0	25	1232.263762	37.688395	5.109841	17.492788
59	0	0	50	50	0	1082.035559	18.084075	4.435879	3.173262
60	0	0	50	25	25	1122.204351	NaN	2.114451	NaN
61	0	0	50	0	50	1148.910216	15.078941	14.017355	4.917606
62	0	0	25	75	0	992.219499	3.478603	1.403558	0.078562
63	0	0	25	50	25	1110.231179	20.287225	3.610051	2.960378
64	0	0	25	25	50	1145.512497	27.319435	4.535389	5.079521
65	0	0	25	0	75	1166.733563	7.28488	6.11304	7.19912
66	0	0	0	100	0	1027.614367	2.540561	9.864825	0.400859
67	0	0	0	75	25	1125.501776	13.783284	24.57419	7.403035
68	0	0	0	50	50	1124.539667	28.188023	18.617117	0.617654
69	0	0	0	25	75	1114.511549	19.639285	28.33246	23.39231
70	0	0	0	0	100	1000.986743	NaN	59.727848	NaN
