Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	80	0	0	20	0	448.752349	4.948991	6.130056	1.068132
2	0	90	10	0	0	437.210047	4.646971	1.157091	0.699525
3	10	60	0	0	30	513.886404	0.741228	-3.197315	2.339323
4	0	90	0	10	0	400.258378	1.931472	8.861717	0.213613
5	0	90	10	0	0	437.406901	0.998443	1.442959	0.389327
6	0	90	0	10	0	397.382092	6.322956	8.840628	0.862249
7	10	70	10	0	10	462.414171	6.147879	4.096468	1.771572
8	0	60	0	10	30	484.213614	8.679494	-9.623006	2.122182
9	30	40	30	0	0	463.649549	1.304709	6.543907	0.39207
10	0	60	0	10	30	490.365841	3.384861	-11.293574	1.514453
11	20	50	0	30	0	446.704705	7.161233	13.177103	0.46006
12	60	0	20	0	20	557.310472	5.862	-1.679337	2.338349
13	10	60	20	10	0	455.343576	1.778368	4.913847	1.11573
14	0	50	20	30	0	451.55674	6.340801	7.935045	1.035198
15	10	70	10	0	10	454.461654	11.471423	5.475748	1.111839
