Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	100	0	0	0	0	442.762899	10.364978	12.561464	0.667777
2	50	50	0	0	0	459.893042	2.249234	13.996238	0.546788
3	50	0	50	0	0	522.937459	7.525129	35.350126	5.677419
4	50	0	0	50	0	460.204722	3.930505	6.055593	0.281828
5	50	0	0	0	50	617.529913	4.589169	-10.675206	0.610963
6	0	100	0	0	0	398.892044	4.219633	8.500487	0.328425
7	0	50	50	0	0	559.33253	2.504106	11.965559	2.506565
8	0	50	0	50	0	486.793695	40.769094	10.415838	3.550239
9	0	50	0	0	50	511.310832	4.01077	-5.244464	1.044669
10	0	0	100	0	0	801.893401	74.694295	51.129784	15.080012
11	0	0	50	50	0	1015.772259	13.394336	15.179873	11.534497
12	0	0	50	0	50	1148.910216	15.078941	14.017355	4.917606
13	0	0	0	100	0	920.984105	121.611827	12.236778	9.293877
14	0	0	0	50	50	1054.791188	28.787562	22.373253	3.205141
15	0	0	0	0	100	1052.56749	34.40124	36.801318	19.072876
