Index	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std
						mV		mV	
1	60	20	20	0	0	511.866089	0.966719	4.707078	0.622609
2	30	20	10	30	10	503.776441	13.243655	9.549365	0.777422
3	0	0	10	0	90	1098.502749	50.399918	29.14384	0.813139
4	20	0	60	10	10	720.762453	39.437295	-4.36027	3.530228
5	20	20	10	20	30	515.579204	4.731664	9.86074	0.868162
6	20	40	0	10	30	504.603531	5.846102	12.743545	2.106685
7	30	0	0	20	50	607.551628	6.323867	-3.35929	3.591091
8	0	10	30	20	40	760.621454	13.50329	19.932473	1.230461
9	30	10	10	40	10	531.40611	1.103305	12.877192	1.198287
10	50	20	10	20	0	496.748493	3.894264	6.933725	0.4208
11	10	10	40	10	30	695.205053	8.20639	6.620342	0.109828
12	20	30	50	0	0	566.372678	3.504992	11.458494	0.239067
13	40	0	10	0	50	590.724257	5.56635	3.833137	0.961182
14	50	0	20	30	0	528.037804	2.440969	6.841455	2.794864
15	0	10	30	10	50	759.255242	12.80254	15.6141	1.088878
