	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std	Iteration
0	100	0	0	0	0	442.762899	10.364978	12.561464	0.667777	0
1	50	50	0	0	0	459.893042	2.249234	13.996238	0.546788	0
2	50	0	50	0	0	522.937459	7.525129	35.350126	5.677419	0
3	50	0	0	50	0	460.204722	3.930505	6.055593	0.281828	0
4	50	0	0	0	50	617.529913	4.589169	-10.675206	0.610963	0
5	0	100	0	0	0	398.892044	4.219633	8.500487	0.328425	0
6	0	50	50	0	0	559.33253	2.504106	11.965559	2.506565	0
7	0	50	0	50	0	486.793695	40.769094	10.415838	3.550239	0
8	0	50	0	0	50	511.310832	4.01077	-5.244464	1.044669	0
9	0	0	100	0	0	801.893401	74.694295	51.129784	15.080012	0
10	0	0	50	50	0	1015.772259	13.394336	15.179873	11.534497	0
11	0	0	50	0	50	1148.910216	15.078941	14.017355	4.917606	0
12	0	0	0	100	0	920.984105	121.611827	12.236778	9.293877	0
13	0	0	0	50	50	1054.791188	28.787562	22.373253	3.205141	0
14	0	0	0	0	100	1052.56749	34.40124	36.801318	19.072876	0
15	70	0	0	0	30	552.226547	5.014568	1.213761	1.815163	1
16	0	70	0	0	30	499.671376	2.928869	-18.270281	0.069462	1
17	20	50	0	0	30	524.865409	2.296138	12.678548	0.959192	1
18	50	20	0	0	30	562.939518	10.082771	10.072778	1.932463	1
19	10	80	0	0	10	444.73566	12.917411	-3.414392	2.96308	1
20	70	0	0	20	10	470.313438	4.820463	5.137255	0.330229	1
21	0	80	0	20	0	410.092521	8.548165	6.522479	1.472908	1
22	40	30	0	0	30	543.901668	15.718038	11.440792	2.503241	1
23	40	30	0	30	0	467.34182	4.127252	10.214136	0.582133	1
24	0	80	20	0	0	471.795378	16.176444	1.641945	6.664167	1
25	70	20	0	0	10	495.226091	12.053592	10.658302	0.452443	1
26	30	70	0	0	0	485.976638	1.959553	16.717929	0.372844	1
27	0	60	10	0	30	507.002202	7.029639	2.977616	0.754924	1
28	60	0	0	0	40	602.570122	6.240824	-6.69656	1.09523	1
29	0	80	0	0	20	475.080399	2.274439	-11.885536	1.557291	1
30	80	0	20	0	0	508.854815	2.05291	7.227874	0.858902	2
31	0	90	0	0	10	450.362632	1.695043	-5.85593	0.137975	2
32	0	70	0	10	20	473.82979	4.610597	-14.242305	1.314383	2
33	0	70	10	0	20	470.449235	9.330597	-0.055116	2.512604	2
34	0	70	0	20	10	437.125536	1.92093	5.166936	0.890767	2
35	10	90	0	0	0	396.909473	5.552619	8.097559	1.670616	2
36	10	70	0	0	20	461.256162	6.356522	-4.842371	0.910843	2
37	0	80	10	0	10	445.367574	4.519821	5.982629	2.211981	2
38	60	10	0	30	0	460.114986	3.804281	10.818128	0.49474	2
39	0	70	0	30	0	423.547739	0.874541	8.296978	0.495481	2
40	10	80	10	0	0	431.468264	8.95333	2.166235	2.234867	2
41	60	10	10	20	0	496.763146	0.870122	6.394616	0.183478	2
42	0	80	0	10	10	427.882004	1.559628	3.300867	0.177489	2
43	0	60	0	0	40	494.574421	6.7115	-10.970777	2.286157	2
44	10	70	0	10	10	428.534708	13.341215	4.810731	0.664783	2
45	80	0	0	20	0	448.752349	4.948991	6.130056	1.068132	3
46	0	90	10	0	0	437.210047	4.646971	1.157091	0.699525	3
47	10	60	0	0	30	513.886404	0.741228	-3.197315	2.339323	3
48	0	90	0	10	0	400.258378	1.931472	8.861717	0.213613	3
49	0	90	10	0	0	437.406901	0.998443	1.442959	0.389327	3
50	0	90	0	10	0	397.382092	6.322956	8.840628	0.862249	3
51	10	70	10	0	10	462.414171	6.147879	4.096468	1.771572	3
52	0	60	0	10	30	484.213614	8.679494	-9.623006	2.122182	3
53	30	40	30	0	0	463.649549	1.304709	6.543907	0.39207	3
54	0	60	0	10	30	490.365841	3.384861	-11.293574	1.514453	3
55	20	50	0	30	0	446.704705	7.161233	13.177103	0.46006	3
56	60	0	20	0	20	557.310472	5.862	-1.679337	2.338349	3
57	10	60	20	10	0	455.343576	1.778368	4.913847	1.11573	3
58	0	50	20	30	0	451.55674	6.340801	7.935045	1.035198	3
59	10	70	10	0	10	454.461654	11.471423	5.475748	1.111839	3
