	Co	Mn	Sb	Sn	Ti	Overpotential	Overpotential_std	Overpotential change	Overpotential change_std	Iteration
0	100	0	0	0	0	442.762899	10.364978	12.561464	0.667777	0
1	50	50	0	0	0	459.893042	2.249234	13.996238	0.546788	0
2	50	0	50	0	0	522.937459	7.525129	35.350126	5.677419	0
3	50	0	0	50	0	460.204722	3.930505	6.055593	0.281828	0
4	50	0	0	0	50	617.529913	4.589169	-10.675206	0.610963	0
5	0	100	0	0	0	398.892044	4.219633	8.500487	0.328425	0
6	0	50	50	0	0	559.33253	2.504106	11.965559	2.506565	0
7	0	50	0	50	0	486.793695	40.769094	10.415838	3.550239	0
8	0	50	0	0	50	511.310832	4.01077	-5.244464	1.044669	0
9	0	0	100	0	0	801.893401	74.694295	51.129784	15.080012	0
10	0	0	50	50	0	1015.772259	13.394336	15.179873	11.534497	0
11	0	0	50	0	50	1148.910216	15.078941	14.017355	4.917606	0
12	0	0	0	100	0	920.984105	121.611827	12.236778	9.293877	0
13	0	0	0	50	50	1054.791188	28.787562	22.373253	3.205141	0
14	0	0	0	0	100	1052.56749	34.40124	36.801318	19.072876	0
15	80	10	0	10	0	441.784018	2.66619	13.692828	0.285813	1
16	0	0	30	40	30	1134.015596	2.444652	11.44861	0.209099	1
17	30	30	0	30	10	480.777244	2.444157	13.79597	0.032818	1
18	20	0	0	50	30	603.399132	16.414923	0.690691	9.187255	1
19	0	30	40	0	30	569.31076	3.810925	7.151689	1.519947	1
20	0	70	10	10	10	440.098202	3.774414	6.711984	1.462203	1
21	10	20	0	40	30	518.010608	6.098793	11.301605	0.209505	1
22	20	40	0	40	0	461.882551	4.464035	15.614144	0.648688	1
23	0	0	30	50	20	945.735335	9.067953	41.029257	3.920711	1
24	10	30	20	0	40	528.913321	12.786544	6.818789	3.116451	1
25	10	40	30	10	10	495.052328	7.147019	8.19572	0.329343	1
26	30	40	0	10	20	511.729268	4.654592	14.547078	0.460053	1
27	10	0	20	70	0	723.108065	19.959891	16.045437	7.831908	1
28	20	0	0	30	50	631.590837	4.93306	-9.763271	1.53749	1
29	10	0	30	0	60	822.640911	13.922314	4.265311	3.260586	1
30	80	10	0	0	10	455.706988	13.145174	13.266595	0.245531	2
31	10	50	0	10	30	486.388107	2.742033	10.248685	1.555038	2
32	10	30	0	50	10	454.743546	3.21468	14.352204	0.57111	2
33	30	60	10	0	0	462.512153	6.320262	6.49666	0.547754	2
34	10	0	0	10	80	660.85479	14.431793	-2.563959	1.899724	2
35	30	20	30	10	10	492.689216	4.970663	6.452777	1.189832	2
36	0	0	60	20	20	936.603787	155.824397	13.841233	16.024885	2
37	30	0	10	20	40	567.92113	3.891829	0.062986	0.873701	2
38	20	60	0	20	0	470.490551	16.059028	17.129819	2.300342	2
39	60	30	10	0	0	489.904853	3.712383	7.389319	0.384327	2
40	40	30	10	20	0	487.354239	6.293006	10.384659	0.967882	2
41	0	0	60	40	0	888.672879	51.410241	8.734727	5.226057	2
42	40	0	10	20	30	581.28735	8.708782	-1.139551	1.347317	2
43	10	20	0	0	70	549.945587	4.247196	12.978443	0.567481	2
44	50	10	20	20	0	519.275218	6.173884	7.330678	2.590821	2
45	60	20	20	0	0	511.866089	0.966719	4.707078	0.622609	3
46	30	20	10	30	10	503.776441	13.243655	9.549365	0.777422	3
47	0	0	10	0	90	1098.502749	50.399918	29.14384	0.813139	3
48	20	0	60	10	10	720.762453	39.437295	-4.36027	3.530228	3
49	20	20	10	20	30	515.579204	4.731664	9.86074	0.868162	3
50	20	40	0	10	30	504.603531	5.846102	12.743545	2.106685	3
51	30	0	0	20	50	607.551628	6.323867	-3.35929	3.591091	3
52	0	10	30	20	40	760.621454	13.50329	19.932473	1.230461	3
53	30	10	10	40	10	531.40611	1.103305	12.877192	1.198287	3
54	50	20	10	20	0	496.748493	3.894264	6.933725	0.4208	3
55	10	10	40	10	30	695.205053	8.20639	6.620342	0.109828	3
56	20	30	50	0	0	566.372678	3.504992	11.458494	0.239067	3
57	40	0	10	0	50	590.724257	5.56635	3.833137	0.961182	3
58	50	0	20	30	0	528.037804	2.440969	6.841455	2.794864	3
59	0	10	30	10	50	759.255242	12.80254	15.6141	1.088878	3
